time,orderId,event,publishTimeTaken,relayDelay
1570624388532,LTFGQM6STZYX,PATCH,2116,79571
1570624389193,LTFGQKKJL23T,PATCH,119,80177
1570624391120,LT4ANEC7NQ87G,PATCH,1775,77814
1570624391133,LTFGQML9IR4K,PATCH,1704,76982
1570624391210,LTFGQMRVTT9Y,PATCH,1596,75149
1570624391134,LTFGQMLDUFUU,PATCH,1681,76561
1570624391279,LTFGQMUN2H9V,CREATE,1555,72519
1570624391134,LTFGQMFSBMKT,PATCH,1667,76405
1570624391245,LTFGQMOXF97K,PATCH,1532,73288
1570624391245,LTFGQMUMHL00,CREATE,1564,73366
1570624391232,LTFGQMOSOAOI,PATCH,1585,74337
1570624389074,LTFGQMUIXTFR,PATCH,818,77074
1570624393188,LT4ANEAR9P2EG,PATCH,1504,70463
1570624393894,LT4ANE9JIFBL6,PATCH,2124,68474
1570624393915,LTFGQMONQENW,PATCH,2148,69059
1570624391083,LTFGQM92XTYF,PATCH,1254,71530
1570624391123,LTFGQMUASPSQ,UPDATE,1770,77761
1570624391083,LT4ANEA3CDHAC,PATCH,1214,70162
1570624391329,LTFGQMEC8Y0K,PATCH,1493,70970
1570624391135,LTFGQMOJKHHG,PATCH,1638,76202
1570624391210,LTFGQMTCHBVL,PATCH,1584,75140
1570624387038,LT4ANECG6ERUE,CREATE,654,81763
1570624385887,LT4ANE9C3DIFY,PATCH,909,84247
1570624385887,LTFGQMC4ZQ1L,PATCH,906,84242
1570624386005,LTFGQMCX0MRP,PATCH,974,81386
1570624386025,LTFGQMKJPXPI,PATCH,1118,86160
1570624385875,LTFGQMUASPSQ,CREATE,1066,87726
1570624385876,LTFGQMUAU2IB,CREATE,1064,87665
1570624385886,LTFGQLHFIFYJ,UPDATE,1071,87667
1570624386026,LTFGQM4ORXC8,UPDATE,1242,87913
1570624386012,LTFGQMUEN6EV,CREATE,984,81402
1570624385917,LTFGQMJ3POCR,PATCH,896,81618
1570624391415,LT4ANDZUTKR84,PATCH,297,77195
1570624391118,LT4ANE9OXVHYO,UPDATE,1793,77826
1570624391244,LTFGQMUM7M1V,CREATE,1566,73926
1570624391322,LTFGQMDKHSZ6,PATCH,1544,72444
1570624391135,LT4ANE9JIFBL6,PATCH,1612,76034
1570624391244,LTFGQMLBRDVF,PATCH,1568,74198
1570624391325,LT4ANEBV8UBX8,PATCH,1564,72448
1570624394408,LTFGQMH0LB0U,PATCH,1218,68876
1570624395135,LTFGQMR2WPRJ,PATCH,3282,67959
1570624391443,LT4ANDZH7CNTM,PATCH,198,69752
1570624393188,LTFGQMG0J9VB,PATCH,1527,70906
1570624393652,LT4ANECKKI1W0,CREATE,1493,61823
1570624393188,LTFGQMIPC5LC,PATCH,1516,70491
1570624393190,LTFGQMH0LB0U,PATCH,1503,70183
1570624393652,LTFGQMA9AKPY,PATCH,1835,67453
1570624386151,LTFGQMLDUFUU,PATCH,367,85564
1570624385876,LT4ANECBWFHHG,UPDATE,1083,87744
1570624386151,LTFGQMAHXZ8M,PATCH,279,85580
1570624385888,LTFGQMO6LBOP,PATCH,899,83712
1570624385915,LTFGQMEX4IAO,PATCH,908,83140
1570624386165,LTFGQMUC9DLD,CREATE,1218,85560
1570624385888,LTFGQM9LN1D1,PATCH,900,84152
1570624386006,LT4ANECF1ZPDC,CREATE,1157,87520
1570624385917,LTFGQMMOLNI7,PATCH,903,82181
1570624386006,LT4ANEB0NLHQ6,PATCH,972,81353
1570624388430,LTFGQMPD7VFP,PATCH,2019,79895
1570624391105,LTFGQM6ZTF59,PATCH,1803,77826
1570624391133,LT4ANE9T3FL4C,PATCH,1696,76895
1570624391083,LTFGQMQUWEXZ,PATCH,1233,70391
1570624391082,LTFGQMUNG0QZ,CREATE,1260,71693
1570624391140,LTFGQMUKZ4SZ,CREATE,1599,75896
1570624391093,LTFGQMUJSGO9,CREATE,1801,77839
1570624391123,LTFGQME6WNNG,PATCH,1720,77701
1570624391125,LTFGQM5GQUDV,PATCH,1714,77583
1570624391300,LTFGQMCXWC56,PATCH,1542,72533
1570624391181,LTFGQM96HD0S,PATCH,1628,75787
1570624391244,LTFGQMUM1OXB,CREATE,1595,74201
1570624393364,LTFGQL7L9ES2,UPDATE,1606,68546
1570624393865,LTFGQMUVTT1Y,CREATE,1648,60395
1570624393653,LTFGQMSRMOS9,PATCH,1461,61275
1570624485167,LTFGQMG46G7L,PATCH,46553,63160
1570624386162,LTFGQMQNWRJD,PATCH,247,81599
1570624386162,LTFGQK272Y0L,PATCH,250,83406
1570624386146,LTFGQMSO91I9,PATCH,1178,84810
1570624394261,LTFGQMUQR9LE,CREATE,2492,69306
1570624394899,LTFGQMUEVMFS,UPDATE,1032,63046
1570624394417,LTFGQMR5O7NF,PATCH,2697,70235
1570624394925,LT4ANE9JIFBL6,PATCH,1030,66827
1570624386937,LTFGQMEX4IAO,PATCH,570,81877
1570624485440,LTFGQMUJNS4T,PATCH,250,63462
1570624391438,LTFGQMUN2H9V,PATCH,159,72590
1570624391417,LTFGQMEGTMUB,PATCH,230,72080
1570624386748,LTFGQMUEXDNN,CREATE,378,81658
1570624386839,LT4ANEC7NQ87G,PATCH,353,75361
1570624386864,LTFGQMUEVMFS,CREATE,500,81862
1570624386947,LTFGQMFSBMKT,PATCH,453,74349
1570624619320,LT4ANEBPL8RHU,PATCH,3775,94469
1570624386984,LT4ANEBNKAMSG,PATCH,604,81768
1570624394387,LTFGQMOYMIC4,PATCH,2332,64220
1570624394386,LTFGQMRM8E67,PATCH,2675,70548
1570624393893,LTFGQMA8R18Y,PATCH,2151,69395
1570624393653,LTFGQMIWA5E8,UPDATE,1493,61772
1570624387113,LTFGQMOWVHEF,PATCH,724,81612
1570624387198,LTFGQMNCGI56,PATCH,804,80607
1570624387111,LT16YHOA7PLDJ4,PATCH,723,81618
1570624391093,LTFGQMR1C3PE,PATCH,1155,69225
1570624391083,LTFGQMTFTCSK,PATCH,1221,70378
1570624391082,LTFGQMUNFLCS,CREATE,1268,71712
1570624391084,LTFGQMUOPDWO,CREATE,1214,69576
1570624391143,LTFGQMUL05RW,CREATE,1593,75778
1570624391325,LTFGQLXH7NXB,PATCH,1538,72259
1570624391150,LTFGQM00LD8I,UPDATE,1602,75864
1570624391181,LTFGQMOZHE21,PATCH,1542,74549
1570624394259,LTFGQM3184J2,PATCH,2486,68736
1570624394417,LTFGQMUUA1IU,CREATE,2348,63549
1570624394261,LTFGQMSCJAYL,PATCH,2515,69716
1570624394387,LT4ANE3KWZ66M,PATCH,2665,70130
1570624394427,LTFGQMRM8E67,PATCH,41,69039
1570624395061,LTFGQMA4P2XB,PATCH,3223,68404
1570624393365,LTFGQMO5SXFP,PATCH,1608,68785
1570624388259,LT4ANEB678APY,PATCH,1855,80215
1570624388306,LT4ANEC7NQ87G,PATCH,1301,75387
1570624388582,LTFGQM6SCKHB,PATCH,2165,79519
1570624388770,LT4ANEBV1Y2DO,PATCH,2338,77623
1570624387770,LT4ANDDTE2GQU,PATCH,1370,80390
1570624388271,LTFGQLLIELE7,PATCH,1106,81200
1570624388324,LT4ANDZH7CNTM,PATCH,1916,79832
1570624388643,LT4ANECH1WNKS,CREATE,2218,78075
